id,race_name,candidate_id,candidate_name,candidate_party,candidate_votes,candidate_percentage
2047,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 1",339021,GUSTAVO REVELES,DEM,314162,50.94
2047,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 1",333229,MICHAEL (TRAVIS) STEVENS,REP,302544,49.06
2045,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 3",337655,MARISA PEREZ-DIAZ (I),DEM,385682,100.0
2040,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 4",332620,STACI CHILDS (I),DEM,377807,100.0
2046,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 10",3192,TOM MAYNARD (I),REP,594496,67.56
2046,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 10",336809,RAQUEL SAENZ ORTIZ,DEM,285508,32.44
2037,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 11",339990,HUNTER CROW,GRE,21679,2.57
2037,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 11",339059,RAYNA GLASSER,DEM,303180,35.92
2037,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 11",337018,BRANDON HALL,REP,519163,61.51
2038,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 12",337764,GEORGE KING,DEM,327645,36.7
2038,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 12",330618,PAM LITTLE (I),REP,565011,63.3
2049,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 13 - UNEXPIRED TERM",340808,TIFFANY CLARK,DEM,418823,100.0
2042,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 15",330197,AARON KINSEY (I),REP,512043,76.26
2042,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 15",338280,MORGAN KIRKPATRICK,DEM,137759,20.52
2042,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 15",339784,JACK B. WESTBROOK,LIB,21639,3.22
2063,"STATE SENATOR, DISTRICT 6",1301,CAROL ALVARADO (I),DEM,119280,63.01
2063,"STATE SENATOR, DISTRICT 6",4994,MARTHA FIERRO,REP,70013,36.99
2059,"STATE SENATOR, DISTRICT 7",1181,PAUL BETTENCOURT (I),REP,251489,63.41
2059,"STATE SENATOR, DISTRICT 7",339030,MICHELLE GWINN,DEM,145100,36.59
2080,"STATE SENATOR, DISTRICT 8",336808,RACHEL MELLO,DEM,184642,40.64
2080,"STATE SENATOR, DISTRICT 8",1201,ANGELA PAXTON (I),REP,269743,59.36
2074,"STATE SENATOR, DISTRICT 10",3187,PHIL KING (I),REP,227475,61.71
2074,"STATE SENATOR, DISTRICT 10",336128,ANDY MORRIS,DEM,141163,38.29
2072,"STATE SENATOR, DISTRICT 12",338562,STEPHANIE DRAPER,DEM,174875,38.64
2072,"STATE SENATOR, DISTRICT 12",2446,TAN PARKER (I),REP,277734,61.36
2064,"STATE SENATOR, DISTRICT 14",335968,SARAH ECKHARDT (I),DEM,321035,100.0
2078,"STATE SENATOR, DISTRICT 15",336764,MOLLY COOK,DEM,200680,61.9
2078,"STATE SENATOR, DISTRICT 15",337474,JOSEPH L. TRAHAN,REP,123515,38.1
2058,"STATE SENATOR, DISTRICT 16",337454,NATHAN JOHNSON (I),DEM,187557,100.0
2066,"STATE SENATOR, DISTRICT 17",4345,KATHY CHENG,DEM,133127,35.84
2066,"STATE SENATOR, DISTRICT 17",1192,JOAN HUFFMAN (I),REP,238328,64.16
2079,"STATE SENATOR, DISTRICT 20",335728,"JUAN ""CHUY"" HINOJOSA (I)",DEM,178987,100.0
2061,"STATE SENATOR, DISTRICT 23",1209,ROYCE WEST (I),DEM,253413,100.0
2071,"STATE SENATOR, DISTRICT 25",1184,DONNA CAMPBELL (I),REP,321653,63.57
2071,"STATE SENATOR, DISTRICT 25",339034,MERRIE FOX,DEM,184312,36.43
2068,"STATE SENATOR, DISTRICT 27",330152,ADAM HINOJOSA,REP,126073,49.38
2068,"STATE SENATOR, DISTRICT 27",335882,MORGAN LAMANTIA (I),DEM,123305,48.29
2068,"STATE SENATOR, DISTRICT 27",339992,ROBIN LEE VARGAS,GRE,5956,2.33
2057,"STATE SENATOR, DISTRICT 29",336942,CÉSAR J. BLANCO (I),DEM,174731,100.0
2054,"STATE SENATOR, DISTRICT 30",338276,DALE FREY,DEM,155949,34.97
2054,"STATE SENATOR, DISTRICT 30",336619,BRENT HAGENBUCH,REP,289981,65.03
2095,STATE REPRESENTATIVE DISTRICT 1,3471,GARY VANDEAVER (I),REP,66843,100.0
2169,STATE REPRESENTATIVE DISTRICT 2,335665,BRENT A. MONEY,REP,71222,80.56
2169,STATE REPRESENTATIVE DISTRICT 2,335667,KRISTEN WASHINGTON,DEM,17182,19.44
2094,STATE REPRESENTATIVE DISTRICT 3,3456,CECIL BELL JR (I),REP,85793,100.0
2227,STATE REPRESENTATIVE DISTRICT 4,339111,ALEX BAR-SELA,DEM,26240,30.33
2227,STATE REPRESENTATIVE DISTRICT 4,3486,KEITH BELL (I),REP,60287,69.67
2149,STATE REPRESENTATIVE DISTRICT 5,3557,COLE HEFNER (I),REP,74381,98.79
2149,STATE REPRESENTATIVE DISTRICT 5,340778,NANCY A. NICHOLS,W,910,1.21
2203,STATE REPRESENTATIVE DISTRICT 6,336833,DANIEL ALDERS,REP,56497,71.83
2203,STATE REPRESENTATIVE DISTRICT 6,338535,CODY J GRACE,DEM,22158,28.17
2145,STATE REPRESENTATIVE DISTRICT 7,338538,MARLENA R. COOPER,DEM,20520,25.79
2145,STATE REPRESENTATIVE DISTRICT 7,4244,JAY DEAN (I),REP,59056,74.21
2125,STATE REPRESENTATIVE DISTRICT 8,1355,CODY HARRIS (I),REP,60938,81.36
2125,STATE REPRESENTATIVE DISTRICT 8,4547,CAROLYN F. SALTER,DEM,13961,18.64
2119,STATE REPRESENTATIVE DISTRICT 9,3186,TRENT ASHBY (I),REP,74006,100.0
2093,STATE REPRESENTATIVE DISTRICT 10,340799,JENNIFER BRUMMELL,W,888,1.28
2093,STATE REPRESENTATIVE DISTRICT 10,335747,BRIAN HARRISON (I),REP,68706,98.67
2093,STATE REPRESENTATIVE DISTRICT 10,340795,JEREMY SCHROPPEL,W,40,0.06
2171,STATE REPRESENTATIVE DISTRICT 11,336588,JOANNE SHOFNER,REP,62338,100.0
2198,STATE REPRESENTATIVE DISTRICT 12,339040,DEE HOWARD MULLINS,DEM,19325,23.16
2198,STATE REPRESENTATIVE DISTRICT 12,335993,TREY WHARTON,REP,64105,76.84
2121,STATE REPRESENTATIVE DISTRICT 13,338536,ALBERT HUNTER,DEM,17301,23.82
2121,STATE REPRESENTATIVE DISTRICT 13,330408,ANGELIA ORR (I),REP,55317,76.18
2090,STATE REPRESENTATIVE DISTRICT 14,335912,PAUL DYSON,REP,40262,60.46
2090,STATE REPRESENTATIVE DISTRICT 14,338178,FRED MEDINA,DEM,26332,39.54
2179,STATE REPRESENTATIVE DISTRICT 15,1222,STEVE TOTH (I),REP,73720,100.0
2184,STATE REPRESENTATIVE DISTRICT 16,1257,WILL METCALF (I),REP,73385,80.36
2184,STATE REPRESENTATIVE DISTRICT 16,5989,MIKE MIDLER,DEM,17930,19.64
