people_id,person_hash,party,role,name,first_name,middle_name,last_name,suffix,district,votesmart_id,ballotpedia
5848,3b040ho3,D,Rep,Alma Allen,Alma,A.,Allen,,HD-131,25503,Alma_Allen
5850,mcnms1e8,D,Sen,Carol Alvarado,Carol,,Alvarado,,SD-006,49524,Carol_Alvarado
5851,i5zt5f3s,D,Rep,Rafael Anchia,Rafael,,Anchia,,HD-103,49874,Rafael_Anchia
5862,2oz7ngk6,R,Rep,Angie Button,Angie,Chen,Button,,HD-112,102062,Angie_Chen_Button
5874,afzjvlgk,R,Rep,Tom Craddick,Tom,,Craddick,,HD-082,5485,Tom_Craddick
5875,d8zu56yg,R,Sen,Charles Creighton,Charles,Brandon,Creighton,,SD-004,50127,Brandon_Creighton
5877,x0l0s73o,R,Rep,Drew Darby,Drew,,Darby,,HD-072,49842,Drew_Darby
5879,gel8m81o,D,Rep,Yvonne Davis,Yvonne,,Davis,,HD-111,5491,Yvonne_Davis
5884,1pzqjv8g,D,Rep,Harold Dutton,Harold,V.,Dutton,Jr.,HD-142,5498,Harold_Dutton_Jr.
5899,9205d4u6,R,Rep,Charlie Geren,Charlie,,Geren,,HD-099,49376,Charlie_Geren
5903,r2a48vov,R,Rep,Ryan Guillen,Ryan,,Guillen,,HD-031,49248,Ryan_Guillen
5904,lnthys87,D,Sen,Roland Gutierrez,Roland,,Gutierrez,,SD-019,106951,Roland_Gutierrez
5906,lep0m3yg,R,Sen,Kelly Hancock,Kelly,,Hancock,,SD-009,59194,Kelly_Hancock
5912,okbq7znf,D,Rep,Ana Hernandez,Ana,,Hernandez,,HD-143,59301,Ana_Hernandez_(Texas)
5920,a90snuc7,D,Rep,Donna Howard,Donna,,Howard,,HD-048,59196,Donna_Howard
5921,dol6gg8k,R,Sen,Bryan Hughes,Bryan,,Hughes,,SD-001,50173,Bryan_Hughes
5922,b3a929fk,R,Rep,Todd Hunter,Todd,,Hunter,,HD-032,5532,Todd_Hunter
5929,rgt3o578,R,Rep,Phil King,Phil,,King,,SD-010,25435,Phil_King
5933,qcfbo5i8,R,Sen,Lois Kolkhorst,Lois,,Kolkhorst,,SD-018,49608,Lois_Kolkhorst
5944,l31mwotf,D,Rep,Trey Martinez Fischer,Trey,,Martinez Fischer,III,HD-116,49471,Trey_Martinez_Fischer
5945,j8ovm3fj,D,Rep,Armando Martinez,Armando,,Martinez,,HD-039,49304,Armando_Martinez
5949,gj43nd30,D,Sen,Jose Menendez,Jose,,Menendez,,SD-026,49908,Jose_Menendez
5954,sbo37hh6,D,Rep,Joseph Moody,Joseph,E.,Moody,,HD-078,102266,Joseph_Moody
5962,t6kbzds4,R,Sen,Tan Parker,Nathaniel,,Parker,,SD-012,59370,Tan_Parker
5971,2a54ijjp,D,Rep,Richard Raymond,Richard,Pena,Raymond,,HD-042,5571,Richard_Raymond
5979,ssa1uk3g,R,Rep,John Smithee,John,,Smithee,,HD-086,5581,John_Smithee
5996,71hr882v,D,Rep,Hubert Vo,Hubert,,Vo,,HD-149,49576,Hubert_Vo
5997,o5kbqihs,D,Rep,Armando Walle,Armando,Lucio,Walle,,HD-140,102289,Armando_Walle
6014,a1l1937g,D,Sen,Juan Hinojosa,Juan,,Hinojosa,,SD-020,10049,Juan_Hinojosa
6015,rijry8qw,R,Sen,Joan Huffman,Joan,,Huffman,,SD-017,110896,Joan_Huffman
6019,yip2p7t2,R,Sen,Robert Nichols,Robert,,Nichols,,SD-003,59338,Robert_Nichols_(Texas)
6029,7y6sifqr,D,Sen,Royce West,Royce,,West,,SD-023,5463,Royce_West
6032,5zhqnmie,D,Sen,Judith Zaffirini,Judith,,Zaffirini,,SD-021,5465,Judith_Zaffirini
11013,lzwehz7h,R,Sen,Charles Perry,Charles,,Perry,,SD-028,116957,Charles_Perry
11015,ezj8zpfh,R,Sen,Charles Schwertner,Charles,J.,Schwertner,,SD-005,116941,Charles_Schwertner
