district_type,district_num,title,full_name,party,room_num,phone,email,website,first,middle,last,author_id,leg_id
House,6,Representative,Daniel Alders,R,E2.402,(512) 463-0584,daniel.alders@house.texas.gov,https://house.texas.gov/members/6,Daniel,,Alders,Alders,89
House,131,Representative,Alma A. Allen,D,4N.10,(512) 463-0744,alma.allen@house.texas.gov,https://house.texas.gov/members/131,Alma,A. ,Allen,Allen,89
Senate,6,Senator,Carol Alvarado,D,1E.9,(512) 463-0106,carol.alvarado@senate.texas.gov,https://senate.texas.gov/member.php?d=6,Carol,,Alvarado,Alvarado,89
House,103,Representative,Rafael Anchía,D,1W.5,(512) 463-0746,rafael.anchia@house.texas.gov,https://house.texas.gov/members/103,Rafael,,Anchía,Anchía,89
House,9,Representative,Trent Ashby,R,E2.806,(512) 463-0508,trent.ashby@house.texas.gov,https://house.texas.gov/members/9,Trent,,Ashby,Ashby,89
House,29,Representative,Jeff Barry,R,E2.814,(512) 463-0707,jeff.barry@house.texas.gov,https://house.texas.gov/members/29,Jeff,,Barry,Barry,89
House,3,Representative,Cecil Bell,R,E2.708,(512) 463-0650,cecil.bell@house.texas.gov,https://house.texas.gov/members/3,Cecil,,Bell,"Bell, Cecil",89
House,4,Representative,Keith Bell,R,E2.508,(512) 463-0458,keith.bell@house.texas.gov,https://house.texas.gov/members/4,Keith,,Bell,"Bell, Keith",89
House,123,Representative,Diego Bernal,D,4N.6,(512) 463-0532,diego.bernal@house.texas.gov,https://house.texas.gov/members/123,Diego,,Bernal,Bernal,89
Senate,7,Senator,Paul Bettencourt,R,3E.16,(512) 463-0107,paul.bettencourt@senate.texas.gov,https://senate.texas.gov/member.php?d=7,Paul,,Bettencourt,Bettencourt,89
House,92,Representative,Salman Bhojani,D,E2.906,(512) 463-0522,salman.bhojani@house.texas.gov,https://house.texas.gov/members/92,Salman,,Bhojani,Bhojani,89
Senate,22,Senator,Brian Birdwell,R,1E.3,(512) 463-0122,brian.birdwell@senate.texas.gov,https://senate.texas.gov/member.php?d=22,Brian,,Birdwell,Birdwell,89
Senate,29,Senator,César Blanco,D,3E.2,(512) 463-0129,césar.blanco@senate.texas.gov,https://senate.texas.gov/member.php?d=29,César,,Blanco,Blanco,89
House,24,Representative,Greg Bonnen,R,E2.502,(512) 463-0729,greg.bonnen@house.texas.gov,https://house.texas.gov/members/24,Greg,,Bonnen,Bonnen,89
House,113,Representative,Rhetta A. Bowers,D,E2.214,(512) 463-0464,rhetta.bowers@house.texas.gov,https://house.texas.gov/members/113,Rhetta,A. ,Bowers,Bowers,89
