Bill Number	Caption	Bill History/Status	Authors	Captions	Dead|Alive|Unassigned|Law	Latest Action Date	Latest Action Chamber	Latest Action	Link | All Texts	Recent Bill Text	Introduced Text	Companions	Amendments
HB1	General Appropriations Bill.	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB1	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Authors.aspx?LegSess=89R&Bill=HB1"", ""Bonnen"")"	https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB1	Alive	02/25/2025	H	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Actions.aspx?LegSess=89R&Bill=HB1"", ""Referred to Appropriations: Feb 25 2025  3:35PM"")"	https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=HB1	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00001I.pdf#navpanes=0	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00001I.pdf#navpanes=0		
HB2	Relating to public education and public school finance.	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB2	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Authors.aspx?LegSess=89R&Bill=HB2"", ""Buckley"")"	https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB2	Alive	03/06/2025	H	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Actions.aspx?LegSess=89R&Bill=HB2"", ""Scheduled for public hearing on . . ."")"	https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=HB2	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00002I.pdf#navpanes=0	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00002I.pdf#navpanes=0		
HB3	Relating to the establishment of an education savings account program.	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB3	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Authors.aspx?LegSess=89R&Bill=HB3"", ""Buckley"")"	https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB3	Alive	03/11/2025	H	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Actions.aspx?LegSess=89R&Bill=HB3"", ""Scheduled for public hearing on . . ."")"	https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=HB3	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00003I.pdf#navpanes=0	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00003I.pdf#navpanes=0	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=SB2"", ""SB 2"")"	
HB4	Relating to the assessment of public school students, public school accountability and actions, and proceedings challenging the operations of the public school system.	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB4	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Authors.aspx?LegSess=89R&Bill=HB4"", ""Buckley"")"	https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB4	Alive	02/25/2025	H	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Actions.aspx?LegSess=89R&Bill=HB4"", ""Referred to Public Education: Feb 25 2025  3:35PM"")"	https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=HB4	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00004I.pdf#navpanes=0	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00004I.pdf#navpanes=0		
HB5	Relating to the creation of the Dementia Prevention and Research Institute of Texas.	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB5	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Authors.aspx?LegSess=89R&Bill=HB5"", ""Craddick | Thompson | Hunter | Bonnen | Curry"")"	https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB5	Alive	02/25/2025	H	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Actions.aspx?LegSess=89R&Bill=HB5"", ""Referred to Public Health: Feb 25 2025  3:35PM"")"	https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=HB5	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00005I.pdf#navpanes=0	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00005I.pdf#navpanes=0	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=SB5"", ""SB 5"")"	
HB6	Relating to discipline in public schools.	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB6	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Authors.aspx?LegSess=89R&Bill=HB6"", ""Leach | Harris | Buckley"")"	https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB6	Alive	02/25/2025	H	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Actions.aspx?LegSess=89R&Bill=HB6"", ""Referred to Public Education: Feb 25 2025  3:35PM"")"	https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=HB6	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00006I.pdf#navpanes=0	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00006I.pdf#navpanes=0		
HB7		https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB7		https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB7	Unassigned								
HB8	Relating to a reduction in the maximum compressed tax rate of a school district.	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB8	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Authors.aspx?LegSess=89R&Bill=HB8"", ""Meyer"")"	https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB8	Alive	03/03/2025	H	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Actions.aspx?LegSess=89R&Bill=HB8"", ""Scheduled for public hearing on . . ."")"	https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=HB8	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00008I.pdf#navpanes=0	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00008I.pdf#navpanes=0		
HB9	Relating to an exemption from ad valorem taxation of a portion of the appraised value of tangible personal property a person owns that is held or used for the production of income.	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB9	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Authors.aspx?LegSess=89R&Bill=HB9"", ""Meyer"")"	https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB9	Alive	03/03/2025	H	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Actions.aspx?LegSess=89R&Bill=HB9"", ""Scheduled for public hearing on . . ."")"	https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=HB9	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00009I.pdf#navpanes=0	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00009I.pdf#navpanes=0		
HB10	Relating to reforming the procedure by which state agencies adopt rules and impose regulatory requirements and the deference given to the interpretation of laws and rules by state agencies in certain judicial proceedings.	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB10	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Authors.aspx?LegSess=89R&Bill=HB10"", ""Capriglione"")"	https://capitol.texas.gov/BillLookup/Captions.aspx?LegSess=89R&Bill=HB10	Alive	03/03/2025	H	"=HYPERLINK(""https://capitol.texas.gov/BillLookup/Actions.aspx?LegSess=89R&Bill=HB10"", ""Referred to Delivery of Government Efficiency: Mar  3 2025  2:24PM"")"	https://capitol.texas.gov/BillLookup/Text.aspx?LegSess=89R&Bill=HB10	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00010I.pdf#navpanes=0	https://capitol.texas.gov/tlodocs/89R/billtext/pdf/HB00010I.pdf#navpanes=0		
