billID	stateCode	stateBillID	billName	billSummary	aiSummary	introducedSession	billProgressOrder	billProgress	passedFlag	actionCount	versionCount	voteCount	trackedCount	sponsorCount	sponsorList	keywordList	committeeCategories	readCount	lastAction	lastActionDate	lastAmendmentDate	stateLink	hasCompanion	created	addedDate	stance
1870582	TX	HB47	Relating to sexual assault and other sex offenses.	AN ACT relating to sexual assault and other sex offenses.	This bill proposes several comprehensive changes to improve support and protections for sexual assault survivors in Texas. It expands medical care and reimbursement provisions to cover prescribed continuing medical care related to sexual assault for up to 30 days following a forensic medical examination, ensuring survivors receive more comprehensive treatment. The bill extends victims' rights across multiple legal and health systems, including juvenile justice and healthcare facilities, and requires more detailed information to be provided to survivors about their rights, available services, and resources. It also introduces new training requirements for healthcare professionals, mandating that physicians and physician assistants complete continuing education on trauma-informed care, forensic evidence collection, and sexual assault survivors' rights. Additionally, the bill modifies regulations for transportation network companies by requiring background checks that include state sex offender registries and extends restrictions on registered sex offenders working in certain transportation services. The legislation also increases reporting requirements for sexual assault response teams and connects these reports to a statewide task force, potentially improving tracking and understanding of sexual assault incidents. Most provisions will take effect on September 1, 2025, with some specific requirements having later implementation dates to allow for rule-making and preparation.	89th Legislature Regular Session	2	In Committee	False	10	1	0	81	2	Donna Howard (D)*, Tom Oliverson (R)*	Biennial Summary Detailing, Dna Profiles Maintained, Federal Dna Database, Human Immunodeficiency Virus, Receiving Grant Funds, Sexually Transmitted Infections, Task Force Established, Guilty Plea Negotiations, Plea Bargain Agreement, Defense-Initiated Victim Outreach	Justice	103	Reported favorably w/o amendment(s)	04/08/2025	03/14/2025	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB47	True	03/14/2025	03/15/2025	Pro LGBT
1867900	TX	HB50	Relating to informed consent for certain screening tests.	AN ACT relating to informed consent for certain screening tests.	"This bill modifies Texas health code to establish an opt-out approach for screening tests related to sexually transmitted diseases (STDs). Specifically, the bill defines a ""screening test"" as a rapid laboratory procedure to determine the need for further diagnostic evaluation of an infection. Under the new provisions, when a healthcare provider collects a blood sample during a medical screening for an STD, they must inform the patient about the screening test and obtain consent, with the test being automatically performed unless the patient explicitly opts out. If a screening test returns a positive result, the healthcare provider is required to provide the patient with information about available healthcare, education, prevention, and social support services. The executive commissioner of the Health and Human Services Commission is tasked with developing implementation rules, considering the most recent Centers for Disease Control and Prevention recommendations. The bill sets January 1, 2026, as the deadline for adopting rules and implementing the new requirements, with a provision that the commission is not obligated to implement the mandatory provisions unless specific funding is appropriated. The act is set to take effect on September 1, 2025."	89th Legislature Regular Session	2	In Committee	False	10	1	0	18	70	Venton Jones (D)*, Tom Oliverson (R)*, Toni Rose (D)*, Liz Campos (D)*, Ryan Guillen (R)*, Alma Allen (D), Rafael Anchía (D), Diego Bernal (D), Salman Bhojani (D), Rhetta Bowers (D), John Bryant (D), John Bucy (D), Ben Bumgarner (R), Terry Canales (D), Sheryl Cole (D), Nicole Collier (D), David Cook (R), Philip Cortez (D), Charles Cunningham (R), Aicha Davis (D), Yvonne Davis (D), Harold Dutton (D), Lulu Flores (D), Erin Gámez (D), Cassandra Garcia Hernandez (D), Josey Garcia (D), Linda Garcia (D), Barbara Gervin-Hawkins (D), Jessica González (D), Mary González (D), Vikki Goodwin (D), Caroline Harris Davila (R), Ana Hernandez (D), Gina Hinojosa (D), Donna Howard (D), Ann Johnson (D), Jo Jones (D), Stan Kitzman (R), Suleman Lalani (D), Oscar Longoria (D), Janie Lopez (R), Ray Lopez (D), David Lowe (R), Christian Hayes (D), Mando Martinez (D), Trey Martinez Fischer (D), Terry Meza (D), Joe Moody (D), Penny Morales Shaw (D), Christina Morales (D), Eddie Morales (D), Claudia Ordaz Perez (D), Angelia Orr (R), Vincent Perez (D), Dade Phelan (R), Mihaela Plesa (D), Ron Reynolds (D), Keresa Richardson (R), Ramon Romero (D), Jon Rosenthal (D), Lauren Simmons (D), James Talarico (D), Senfronia Thompson (D), Ellen Troxclair (R), Chris Turner (D), Hubert Vo (D), Armando Walle (D), Charlene Ward Johnson (D), Gene Wu (D), Erin Zwiener (D)	Legislative Budget Board, Legislative Budget Request, Sexually Transmitted Diseases, Social Support Services, Sexually Transmitted Disease, Applicable Health Care, Health Care Provider, Positive Test Result, Diagnostic Evaluation Relating, Screening Test Conducted	Health and Social Services	44	Reported favorably w/o amendment(s)	04/07/2025	03/13/2025	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB50	True	03/13/2025	03/13/2025	Pro LGBT
1855065	TX	HB141	Relating to the adoption of the revised Interstate Compact for the Placement of Children by the State of Texas; making conforming changes.	AN ACT relating to the adoption of the revised Interstate Compact for the Placement of Children by the State of Texas; making conforming changes.	This bill updates the Texas Family Code to adopt the revised Interstate Compact for the Placement of Children (ICPC), which provides a comprehensive framework for legally placing children across state lines for foster care, adoption, or residential care. The bill introduces a detailed, multi-article compact that establishes standardized procedures for interstate child placements, including defining key terms, outlining placement evaluation processes, determining jurisdictional responsibilities, and creating an Interstate Commission to oversee the compact's implementation. Key provisions include establishing uniform standards for assessing placement safety, ensuring ongoing supervision of placed children, protecting the legal rights of children and parents, and creating mechanisms for dispute resolution between states. The bill also makes several conforming amendments to existing Texas law, such as updating terminology and references to align with the new compact. The compact aims to protect children's welfare by ensuring thorough assessments, maintaining legal oversight, and facilitating communication between states during interstate child placements. The bill will take effect once the compact is enacted by the 35th state, with some provisions becoming effective earlier.	89th Legislature Regular Session	2	In Committee	False	16	2	0	68	1	Christian Hayes (D)*	Northern Marianas Islands, Appropriately Assumed Jurisdiction, Child Welfare Program, Develop Uniform Standards, Entire Text Stating, Permanent Duty Station, Relevant Exemption Provision, Roll Call Vote, Accounting Procedures Established, Indian Tribes Notwithstanding	Health and Social Services	44	Placed on General State Calendar	04/16/2025	04/07/2025	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB141	True	03/05/2025	03/06/2025	Pro LGBT
1751944	TX	HB230	Relating to the establishment of the office of community violence intervention and prevention within the Department of State Health Services and a grant program for violence intervention and prevention services.	AN ACT relating to the establishment of the office of community violence intervention and prevention within the Department of State Health Services and a grant program for violence intervention and prevention services.	This bill establishes the Office of Community Violence Intervention and Prevention within the Department of State Health Services, with a comprehensive mission to reduce interpersonal violence through collaborative, evidence-based strategies. The office will coordinate violence prevention efforts across various types of violence, including child abuse, elder abuse, family violence, gun violence, and violence based on sexual orientation or gender identity. A key component of the bill is a competitive grant program that will provide funding to counties, municipalities, and community-based organizations disproportionately impacted by violence, with a focus on implementing initiatives that interrupt cycles of violence without increasing mass incarceration. The office will create a statewide public health campaign, develop a directory of intervention services, and establish an advisory committee that includes members personally impacted by violence, formerly incarcerated individuals, and experts in evidence-based violence reduction strategies. Grant recipients will be required to use funds for programs like hospital-based intervention, community outreach, and focused deterrence strategies, and must report their progress toward achieving grant objectives. The bill mandates the office's establishment by December 1, 2025, with rules to be adopted by the executive commissioner, and it will take effect on September 1, 2025.	89th Legislature Regular Session	2	In Committee	False	3	1	0	58	3	Jon Rosenthal (D)*, Lauren Simmons (D)*, Gene Wu (D)*	Ecological System Approach, Intimate Partner Violence, Violence Involving Youth, Increasing Public Awareness, Address Regional Problems, Develop Collaborative Relationships, Focused Deterrence Strategies, Office Sufficient Control, Recommend Comprehensive Wraparound, Integrate Violence Intervention	Health and Social Services	57	Referred to Public Health	02/27/2025	11/12/2024	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB230	True	11/12/2024	02/28/2025	Pro LGBT
1751471	TX	HB270	Relating to civil liability for discriminatory false reports to law enforcement agencies or emergency service providers.	AN ACT relating to civil liability for discriminatory false reports to law enforcement agencies or emergency service providers.	This bill establishes a new legal provision in Texas that allows individuals who have been falsely reported to law enforcement or emergency services due to discriminatory bias to seek civil damages. Specifically, a person who submits a false report with the intent to target someone based on their race, color, disability, religion, national origin, ancestry, age, gender, sexual orientation, or gender identity can be held liable for up to $250 in damages. If the falsely accused person successfully brings a lawsuit under this provision, they would also be entitled to recover their attorney's fees and court costs. The law will only apply to causes of action that arise on or after its effective date of September 1, 2025, meaning it cannot be used for incidents that occurred before that date. This bill aims to provide a legal mechanism to discourage discriminatory false reporting and offer a form of recourse for victims of such malicious and prejudiced actions.	89th Legislature Regular Session	2	In Committee	False	3	1	0	30	1	Jon Rosenthal (D)*	Emergency Service Provider, Emergency Service Providers, Discriminatory False Reports, Discrimination Sec, False Report, National Origin, Recover Attorney, Remedies Code, Sexual Orientation, Submitted  Due	Justice	25	Referred to Judiciary & Civil Jurisprudence	02/27/2025	11/12/2024	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB270	False	11/12/2024	02/28/2025	Pro LGBT
1751941	TX	HB302	Relating to a prohibition of employment discrimination on the basis of reproductive decisions and certain employment agreements limiting reproductive decisions.	AN ACT relating to a prohibition of employment discrimination on the basis of reproductive decisions and certain employment agreements limiting reproductive decisions.	"This bill amends the Texas Labor Code to expand employment discrimination protections by adding ""reproductive decisions"" as a protected category across multiple sections of existing law. The bill defines reproductive decisions broadly, including discrimination based on marital status during pregnancy, use of assisted reproduction, use of contraception, and obtaining reproductive healthcare services. The legislation prohibits employers, employment agencies, labor organizations, and other employment-related entities from discriminating against individuals because of their reproductive decisions, covering actions such as hiring, firing, compensation, job assignments, and training opportunities. Additionally, the bill requires employers to include information about reproductive decision discrimination in employee handbooks and renders mandatory arbitration agreements void if they attempt to limit an employee's or their family members' reproductive decisions. The bill applies to various employment practices, including job postings, test scoring, and staffing decisions, and extends these protections to employees at different locations and in various work settings. The new provisions will take effect on September 1, 2025, and will apply to discrimination claims based on conduct occurring on or after that date, with a specific provision that the prohibition on restrictive arbitration agreements applies to agreements entered into before, on, or after the effective date."	89th Legislature Regular Session	2	In Committee	False	3	1	0	53	1	Jon Rosenthal (D)*	Mandatory Arbitration Agreement, Previously Exempt Employees, Labor Organization Commits, Employment Agency Commits, Retraining Program Commits, Labor Organization, Employment Agency, Employer Commits, Retraining Opportunity, Retraining Program		59	Referred to s/c on Workforce by Speaker	02/28/2025	11/12/2024	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB302	True	11/12/2024	02/28/2025	Pro LGBT
1751125	TX	HB317	Relating to an employee's right to time off from work if the employee experiences a reproductive loss.	AN ACT relating to an employee's right to time off from work if the employee experiences a reproductive loss.	This bill establishes a new law in Texas that provides employees with the right to take time off from work following a reproductive loss. Specifically, employees who have worked for an employer for at least 30 days are entitled to five days of leave within three months after experiencing a reproductive loss, which includes miscarriage, stillbirth, unsuccessful assisted reproduction procedures, adoption agreement dissolution, or failed embryo transfers. The time off can be taken consecutively or intermittently, and employees can take up to 20 work days of leave if they experience multiple reproductive losses in a 12-month period. Employers are not required to pay employees during this leave and cannot force employees to use other types of accrued leave. Importantly, employers cannot require detailed documentation about the reproductive loss and must maintain the confidentiality of the employee's request. The bill also prohibits employers from retaliating against employees who request or take this type of leave, and employers must post a notice informing employees of these rights. Employers who violate these provisions will be considered to have committed an unlawful employment practice. The law will take effect on September 1, 2025, and applies to reproductive losses occurring on or after that date.	89th Legislature Regular Session	2	In Committee	False	3	1	0	34	2	Mary González (D)*, Penny Morales Shaw (D)	Failed Embryo Transfer, Employer Retaliation Prohibited, Reproductive Loss Occurring, Reproductive Loss Resulting, Surrogacy Agreement Entered, Reproductive Loss Sec, Employee Absence Authorized, Reproductive  Loss, Reproductive Loss, Surrogacy Agreement		41	Referred to s/c on Workforce by Speaker	02/28/2025	11/12/2024	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB317	False	11/12/2024	02/28/2025	Pro LGBT
1751383	TX	HB324	Relating to the prosecution of the offense of sexual assault.	AN ACT relating to the prosecution of the offense of sexual assault.	This bill amends the Texas Penal Code to expand and clarify the definitions of sexual assault and circumstances under which consent is not present. The changes include specifying that consent must be actively given through verbal or positive affirmation, and adding several new scenarios where sexual assault can be determined, such as when a person is unaware the act is occurring, incapable of appraising the nature of the act, or has withdrawn consent. The bill also adds provisions addressing scenarios involving impersonation of professionals like public servants, clergy, coaches, tutors, and healthcare providers, and expands protections against sexual assault by individuals in positions of authority or emotional dependency. Additionally, the bill modifies a related section of the Occupations Code to adjust the timeframe for considering complaints related to certain sexual assault violations. The changes will apply only to offenses committed on or after the effective date of September 1, 2025, with previous offenses still governed by the law in effect at the time of the offense.	89th Legislature Regular Session	2	In Committee	False	8	1	0	28	1	Ann Johnson (D)*	Assisted Reproduction Procedure, Health Care Services, Human Reproductive Material, Intentionally Impaired, Mental Disease, Penal Code, Physically Unable, Positive Affirmation, Public Servant, Sexual Assault	Justice	40	Left pending in committee	03/25/2025	11/12/2024	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB324	False	11/12/2024	02/28/2025	Pro LGBT
1751377	TX	HB393	Relating to the repeal of certain requirements regarding diversity, equity, and inclusion initiatives at public institutions of higher education.	AN ACT relating to the repeal of certain requirements regarding diversity, equity, and inclusion initiatives at public institutions of higher education.	This bill proposes to repeal Section 51.3525 of the Texas Education Code, which appears to be related to diversity, equity, and inclusion (DEI) initiatives at public higher education institutions. DEI programs are typically designed to promote equal opportunities and representation for historically marginalized groups in educational settings. By repealing this section of the law, the bill would effectively eliminate existing requirements or guidelines about such initiatives at Texas public colleges and universities. The bill includes a standard legislative provision allowing it to take effect immediately if it receives a two-thirds majority vote in both legislative chambers, otherwise it will automatically become effective on September 1, 2025. The concise nature of the bill suggests a direct intent to remove existing DEI-related requirements without providing alternative language or frameworks.	89th Legislature Regular Session	2	In Committee	False	3	1	0	24	1	John Bucy (D)*	Education Code, Higher Education, Inclusion Initiatives, Public Institutions, Diversity, Equity, Relating, Repeal, Requirements, Txhb	Education	160	Referred to Higher Education	02/28/2025	11/12/2024	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB393	True	11/12/2024	02/28/2025	Pro LGBT
1751752	TX	HB450	Relating to recognizing persons who separated from military service solely on the basis of sexual orientation as honorably discharged veterans under state law.	AN ACT relating to recognizing persons who separated from military service solely on the basis of sexual orientation as honorably discharged veterans under state law.	This bill addresses the historical discrimination against LGBTQ+ service members by establishing a process for individuals who were discharged from military service solely due to their sexual orientation to be recognized as honorably discharged veterans under Texas state law. The bill specifically defines certain military discharge codes (such as BLC, BML, BRA, etc.) that indicate a discharge based on sexual orientation and allows individuals with these codes on their DD Form 214 (a military discharge document) to be reclassified as honorably discharged. By doing so, these veterans will become eligible for all state-level benefits, rights, privileges, and immunities typically afforded to honorably discharged veterans. The bill provides a mechanism for affected service members to have their military service records reinterpreted, effectively rectifying past discriminatory practices that prevented LGBTQ+ individuals from receiving full recognition and benefits for their military service. The provisions will take effect on September 1, 2025, giving state agencies time to prepare for implementing these changes.	89th Legislature Regular Session	2	In Committee	False	3	1	0	14	1	Barbara Gervin-Hawkins (D)*	Alphanumeric Code Found, Military Discharge Record, Military Service Solely, Separation Code Listed, Numeric Code Commonly, Honorably Discharged Veterans, Separation Code, Government Code, Honorably Discharged, Separation Codes	Military Affairs and Security	32	Referred to s/c on Defense & Veterans' Affairs by Speaker	02/28/2025	11/12/2024	https://capitol.texas.gov/BillLookup/History.aspx?LegSess=89R&Bill=HB450	True	11/12/2024	02/28/2025	Pro LGBT
